"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: compute","Param: count","Param: cpu","Param: items","Param: maxConcurrency","Param: parallelism","Param: size","Param: times","Param: work"
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorObservableManyOneThrows","thrpt",1,1,2798.213705,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorObservableMaxConcurrent","thrpt",1,1,1122.136210,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorObservableSingle","thrpt",1,1,3586.071359,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorObservableSingleThrows","thrpt",1,1,3521.650570,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorSingleSource","thrpt",1,1,4091.921622,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeDelayErrorSingleSourceThrows","thrpt",1,1,3770.904716,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeEmpty","thrpt",1,1,6331.439964,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeIterableEmpty","thrpt",1,1,5696.360605,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeIterableIterableThrows","thrpt",1,1,5899.215543,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeIterableIteratorHasNextThrows","thrpt",1,1,5265.102590,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeIterableIteratorNextThrows","thrpt",1,1,5680.634769,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeIterableIteratorNull","thrpt",1,1,5625.136433,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeIterableMany","thrpt",1,1,2568.715116,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeIterableManyOneThrows","thrpt",1,1,2954.409488,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeIterableOneThrows","thrpt",1,1,3905.128609,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeIterableSingle","thrpt",1,1,4453.217151,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeMultipleOneIsNull","thrpt",1,1,3895.759548,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeMultipleOneThrows","thrpt",1,1,3199.199224,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeMultipleSources","thrpt",1,1,2720.414693,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeObservableEmpty","thrpt",1,1,5623.345104,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeObservableError","thrpt",1,1,4896.731258,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeObservableMany","thrpt",1,1,2311.906437,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeObservableManyOneThrows","thrpt",1,1,2596.767155,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeObservableMaxConcurrent","thrpt",1,1,994.750919,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeObservableSingle","thrpt",1,1,3546.063667,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeObservableSingleThrows","thrpt",1,1,3480.537325,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeSingleSource","thrpt",1,1,5915.153035,NaN,"ops/s",,,,,,,,,
"io.reactivex.rxjava3.completable.CompletableTest._Benchmark.benchmark_mergeSingleSourceThrows","thrpt",1,1,5530.436008,NaN,"ops/s",,,,,,,,,
